2025-10-08 13:29:16 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:29:16 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-7/test_validation_missing_sectio0/invalid.toml
2025-10-08 13:29:16 | INFO     | headshot_generator.models.image_data:from_uploaded_file:92 | Successfully loaded image: test_image.jpg (500x500)
2025-10-08 13:29:16 | INFO     | headshot_generator.models.image_data:set_processed_image:130 | Processed image set: (500, 500)
2025-10-08 13:29:16 | INFO     | headshot_generator.models.image_data:clear:198 | Image data cleared
2025-10-08 13:29:16 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:16 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:16 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:16 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:16 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:16 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:16 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:16 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:16 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:16 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:apply_preset:113 | Applied preset configuration: {'target_width': 350, 'target_height': 450, 'padding_top': 0.25, 'border_color': '#CCCCCC'}
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:16 | ERROR    | headshot_generator.models.session_state:apply_preset:115 | Failed to apply preset: Invalid target dimensions: -100x500
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:set_preset:129 | Selected preset: LinkedIn
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:16 | ERROR    | headshot_generator.models.session_state:set_error:144 | Session error set: Test error message
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:set_preset:129 | Selected preset: LinkedIn
2025-10-08 13:29:16 | ERROR    | headshot_generator.models.session_state:set_error:144 | Session error set: Some error
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:reset_to_defaults:180 | Session state reset to defaults
2025-10-08 13:29:16 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.logger:setup_logger:52 | Logging initialized with level: INFO
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-8/test_load_valid_config0/config.toml
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-8/test_get_presets0/config.toml
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-8/test_get_preset_config0/config.toml
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-8/test_get_invalid_preset0/config.toml
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-8/test_get_download_formats0/config.toml
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:29:22 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-8/test_validation_missing_sectio0/invalid.toml
2025-10-08 13:29:22 | INFO     | headshot_generator.models.image_data:from_uploaded_file:92 | Successfully loaded image: test_image.jpg (500x500)
2025-10-08 13:29:22 | INFO     | headshot_generator.models.image_data:set_processed_image:130 | Processed image set: (500, 500)
2025-10-08 13:29:22 | INFO     | headshot_generator.models.image_data:clear:198 | Image data cleared
2025-10-08 13:29:22 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:22 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:22 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:22 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:22 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:22 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:22 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:22 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:22 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:22 | INFO     | headshot_generator.processing.headshot_processor:__init__:32 | HeadshotProcessor initialized with cascade: /mock/path/haarcascade_frontalface_default.xml
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:apply_preset:113 | Applied preset configuration: {'target_width': 350, 'target_height': 450, 'padding_top': 0.25, 'border_color': '#CCCCCC'}
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | ERROR    | headshot_generator.models.session_state:apply_preset:115 | Failed to apply preset: Invalid target dimensions: -100x500
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:set_preset:129 | Selected preset: LinkedIn
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | ERROR    | headshot_generator.models.session_state:set_error:144 | Session error set: Test error message
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:set_preset:129 | Selected preset: LinkedIn
2025-10-08 13:29:22 | ERROR    | headshot_generator.models.session_state:set_error:144 | Session error set: Some error
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:reset_to_defaults:180 | Session state reset to defaults
2025-10-08 13:29:22 | INFO     | headshot_generator.models.session_state:__post_init__:87 | Session state initialized
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.logger:setup_logger:52 | Logging initialized with level: INFO
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-9/test_load_valid_config0/config.toml
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-9/test_get_presets0/config.toml
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-9/test_get_preset_config0/config.toml
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-9/test_get_invalid_preset0/config.toml
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-9/test_get_download_formats0/config.toml
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:_validate_config:81 | Configuration validation passed
2025-10-08 13:30:52 | INFO     | headshot_generator.utils.config:load_config:42 | Configuration loaded from /private/var/folders/pf/662q3gzd6413np78gpd4p9hr0000gn/T/pytest-of-mjboothaus/pytest-9/test_validation_missing_sectio0/invalid.toml
2025-10-08 13:30:52 | INFO     | headshot_generator.models.image_data:from_uploaded_file:92 | Successfully loaded image: test_image.jpg (500x500)
2025-10-08 13:30:52 | INFO     | headshot_generator.models.image_data:set_processed_image:130 | Processed image set: (500, 500)
